C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-00-01,59 ST,NQR456,BMT,05/20/2016,16:00:00,REGULAR,0005204777,0001143399                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,05/20/2016,20:00:00,REGULAR,0005205572,0001143457                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,05/14/2016,00:00:00,REGULAR,0000698663,0002640043                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,05/14/2016,04:00:00,REGULAR,0000698675,0002640077                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,05/14/2016,08:00:00,REGULAR,0000698683,0002640191                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,05/14/2016,12:00:00,REGULAR,0000698747,0002640566                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,05/14/2016,16:00:00,REGULAR,0000698857,0002640967                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,05/14/2016,20:00:00,REGULAR,0000699007,0002641397                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,05/15/2016,00:00:00,REGULAR,0000699081,0002641592                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,05/15/2016,04:00:00,REGULAR,0000699099,0002641627                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,05/15/2016,08:00:00,REGULAR,0000699103,0002641679                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,05/15/2016,12:00:00,REGULAR,0000699156,0002641928                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,05/15/2016,16:00:00,REGULAR,0000699269,0002642289                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,05/15/2016,20:00:00,REGULAR,0000699372,0002642636                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,05/16/2016,00:00:00,REGULAR,0000699439,0002642761                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,05/16/2016,04:00:00,REGULAR,0000699446,0002642765                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,05/16/2016,08:00:00,REGULAR,0000699471,0002643106                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,05/16/2016,12:00:00,REGULAR,0000699541,0002643944                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,05/16/2016,16:00:00,REGULAR,0000699659,0002644357                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,05/16/2016,20:00:00,REGULAR,0000700015,0002645053                                             
